#StationName;Latitude;Longitude;Height;
THTG00PYF;-17.577;-149.606;97.107;
THTI00PYF;-17.577;-149.606;98.895;
THU200GRL;76.537;-68.825;36.674;
TID100AUS;-35.399;148.98;665.729;
TIDB00AUS;-35.399;148.98;665.791;
TIT200DEU;51.035;6.432;156.532;
TIXI00RUS;71.634;128.866;47.435;
TLSE00FRA;43.561;1.481;207.626;
TLSG00FRA;43.55;1.485;209.169;
TNML00TWN;24.798;120.987;76.269;
TONG00TON;-21.145;-175.179;56.732;
TOPL00BRA;-10.171;-48.331;256.929;
TORP00USA;33.798;-118.331;-4.798;
TOW200AUS;-19.269;147.056;88.503;
TRAK00USA;33.618;-117.803;115.95;
TRO100NOR;69.663;18.94;138.415;
TSK200JPN;36.106;140.087;70.35;
TSKB00JPN;36.106;140.087;67.677;
TUBI00TUR;40.787;29.451;222.255;
TUVA00TUV;-8.525;179.197;38.826;
TWTF00TWN;24.954;121.164;203.529;
UCAL00CAN;51.08;-114.134;1119.238;
UCLP00USA;34.069;-118.442;111.96;
UCLU00CAN;48.926;-125.542;10.487;
UFPR00BRA;-25.448;-49.231;926.179;
ULAB00MNG;47.865;107.052;1576.101;
ULDI00ZAF;-28.293;31.421;608.362;
UNB300CAN;45.95;-66.642;23.32;
UNBD00CAN;45.95;-66.641;23.545;
UNBJ00CAN;45.95;-66.642;23.221;
UNBN00CAN;45.95;-66.642;23.32;
UNSA00ARG;-24.727;-65.408;1258.213;
URAL00RUS;56.838;60.615;278.057;
URUM00CHN;43.808;87.601;859.352;
USCL00CHL;-33.45;-70.681;570.606;
USN700USA;38.921;-77.066;59.346;
USN800USA;38.921;-77.066;59.346;
USN900USA;38.921;-77.066;59.346;
USP100FJI;-18.149;178.446;70.966;
USUD00JPN;36.133;138.362;1509.039;
UTQI00USA;71.323;-156.615;12.565;
UZHL00UKR;48.632;22.298;232.475;
VACS00MUS;-20.297;57.497;420.75;
VALD00CAN;48.097;-77.564;313.205;
VILL00ESP;40.444;-3.952;647.835;
VIS000SWE;57.654;18.367;80.218;
VNDP00USA;34.556;-120.616;-11.085;
VOIM00MDG;-21.906;46.793;1163.786;
WAB200CHE;46.924;7.464;611.544;
WARK00NZL;-36.434;174.663;111.71;
WARN00DEU;54.17;12.101;51.174;
WDC500USA;38.921;-77.066;59.419;
WDC600USA;38.921;-77.066;59.419;
WES200USA;42.613;-71.493;85.439;
WGTN00NZL;-41.323;174.806;26.486;
WHC100USA;33.98;-118.031;94.665;
WHIT00CAN;60.751;-135.222;1427.808;
